model,fold,y_true,probability
Support vector machine,4,1,0.4631714303739756
Support vector machine,4,1,0.7519269958094744
Support vector machine,4,1,0.8438617487270302
Support vector machine,4,1,0.7886349417556578
Support vector machine,4,1,0.6471059131799313
Support vector machine,4,1,0.5
Support vector machine,4,0,0.6210566608774515
Support vector machine,4,1,0.7621936951270084
Penalized logistic regression,5,1,0.4982161616483164
Penalized logistic regression,5,1,0.5044636742641141
Penalized logistic regression,5,1,0.4958569275520289
Penalized logistic regression,5,1,0.48173339146714483
Penalized logistic regression,5,0,0.5430932155633175
Penalized logistic regression,5,1,0.521555640613117
Penalized logistic regression,5,1,0.48838135081058587
Penalized logistic regression,5,1,0.5008118853049462
Penalized logistic regression,5,0,0.5212943258888846
Penalized logistic regression,5,1,0.5021874873625025
Penalized logistic regression,5,1,0.49240836708719826
Penalized logistic regression,5,0,0.4670722204416073
Penalized logistic regression,5,0,0.50948378310685
Penalized logistic regression,5,1,0.5159381701034986
Penalized logistic regression,5,1,0.507170789210308
Penalized logistic regression,5,1,0.5019725872703424
Penalized logistic regression,5,1,0.4912781683264971
Penalized logistic regression,5,0,0.5085007666985234
Penalized logistic regression,5,1,0.5083404869579495
Penalized logistic regression,5,1,0.5124222746721686
Penalized logistic regression,5,1,0.5161347062249111
Penalized logistic regression,5,0,0.5325305143493334
Penalized logistic regression,5,1,0.5005635253246111
Penalized logistic regression,5,0,0.5049598835887946
Penalized logistic regression,5,1,0.4670305161464568
Penalized logistic regression,5,1,0.4675980128173697
Penalized logistic regression,5,1,0.49947639692978985
Penalized logistic regression,5,1,0.5014403807351722
Penalized logistic regression,5,1,0.49878739498117586
Penalized logistic regression,5,0,0.5066156074946997
Penalized logistic regression,5,1,0.4781270749772633
Penalized logistic regression,5,0,0.5009142901549929
Penalized logistic regression,5,1,0.47657496525794735
Penalized logistic regression,5,1,0.5059311529721977
Penalized logistic regression,5,1,0.48590986421379717
Penalized logistic regression,5,0,0.4771279508679776
Penalized logistic regression,5,0,0.5159015054137607
Penalized logistic regression,5,0,0.5221938475975433
Random forest,5,1,0.6282018243225718
Random forest,5,1,0.7016816244367546
Random forest,5,1,0.721174253129301
Random forest,5,1,0.45392609060498984
Random forest,5,0,0.38474772585141875
Random forest,5,1,0.6364931097032988
Random forest,5,1,0.5525654049706221
Random forest,5,1,0.7291802571092941
Random forest,5,0,0.36257063646375437
Random forest,5,1,0.7922904314401205
Random forest,5,1,0.7383124763837811
Random forest,5,0,0.45002343476570944
